asin,reviewText,summary,size,color,image_urls,overall
B0014F8TIU,Superrrr thigh high. Im 54 and it easily reaches 3/4 up my thigh!!,Great!!! Very high!, One Size, Red/White/Blue,,5
B0014F8TIU,I just wish they would not roll down.,Cute but will roll, One Size, Red/White/Blue,,4
B0014HA6VG,"Sadly, not a true red. It's definitely orange",Four Stars, One Size, Fireman (Red),,4
B0014HA6VG,"Well made, soft, thick & so very colorful. Bought the just as gorgeous rich, red Fireman's scarf, too. My little fella is quite the fashion plate! And toasty, too!","Well made, soft, thick & so very colorful ...", One Size, Space Hero (Blue),,5
B0017LD0BM,Not pretty for fashion but great around the house and work.,Three Stars,1.5,,,3
B0017LD0BM,"I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",Huh,2.5,,,2
B0017LD0BM,Excellent value,excellent value and quality,3.25,,,4
B0017LD0BM,"they are fine for the value, particularly since I lose so many
reading glasses.  some of the screws do require constant
tightening.",loose screws,2.75,,,3
B0017LD0BM,"It is so handy to have this many reading glasses at such a reasonable price.  I like this style reading glasses instead of the ones with nose pieces, I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!",Good Value,2.25,,,4
B0017LGD34,Not pretty for fashion but great around the house and work.,Three Stars,,,,3
B0017LGD34,"I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",Huh,,,,2
B0017LGD34,Excellent value,excellent value and quality,,,,4
B0017LGD34,"they are fine for the value, particularly since I lose so many
reading glasses.  some of the screws do require constant
tightening.",loose screws,,,,3
B0017LGD34,"It is so handy to have this many reading glasses at such a reasonable price.  I like this style reading glasses instead of the ones with nose pieces, I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!",Good Value,,,,4
B000YFSR5G,Waaaay too BIG,One Star, X-Large, Charcoal Heather,,1
B000YFSR5G,Comfortable,Five Stars, XX-Large, Deep Royal,,5
B000YFSR4W,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",size runs big,,,,4
B000YFSR5G,Good product for the price.  Used very day and no problem.,Five Stars, X-Large, Navy,,5
B000YFSR5G,Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,Good fit, Medium, Light Steel,,5
B000YFSR4W,Waaaay too BIG,One Star, X-Large, Charcoal Heather,,1
B000YFSR5G,Excellent value.  Comfortable.,Excellent Product, X-Large, Light Steel,,5
B000YFSR5G,"Typical Hanes quality. Good weight, sized just right, made pretty well",Typical Quality, XXX-Large, Deep Royal,,5
B000YFSR5G,"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",Don't sweat the pants, Medium, Navy,,3
B000YFSR5G,"Fit perfectly. I bought dark grey, and they didn't fade",Five Stars, Medium, Charcoal Heather,,5
B000YFSR5G,They fit great. But they fade bad,Three Stars, Medium, Black,,3
B000YFSR5G,I only give four stars because the pants have no pockets.,Four Stars, Medium, Black,,4
B000YFSR5G,Average product.  As described.,Three Stars, XX-Large, Deep Royal,,3
B000YFSR4W,Comfortable,Five Stars, XX-Large, Deep Royal,,5
B000YFSR5G,comfy fit,Five Stars, Large, Charcoal Heather,,5
B000YFSR5G,Nice pants but too small for a medium. Return it.,Returned also, Medium, Black,,2
B000YFSR5G,Nice pants but too small for a medium. Returned it.,Returned, Medium, Navy,,2
B000YFSR5G,"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",Comfy and warm., X-Large, Charcoal Heather,,4
B000YFSR5G,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.","Was terribly disappointed, the pants were way too large in ...",,,,1
B000YFSR5G,As described.,Three Stars, XXX-Large, Light Steel,,3
B000YFSR5G,Very comfy for wearing at home.,Five Stars,,,,5
B000YFSR5G,So comfortable and soft.,Hanes pants,,,,5
B000YFSR5G,"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.","Was not comfortable. Switched to ""Fruit of the loom""",,,,2
B000YFSR5G,"No pockets and huge, the bottom of the pants go over shoes",large with no pockets,,,,3
B000YFSR5G,Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,Fleece Pants,,,,4
B000YFSR5G,So comfortable and soft.,Hanes pants,,,,5
B000YFSR5G,"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.","Was not comfortable. Switched to ""Fruit of the loom""",,,,2
B000YFSR5G,"No pockets and huge, the bottom of the pants go over shoes",large with no pockets,,,,3
B000YFSR5G,Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,Fleece Pants,,,,4
B000YFSR5G,"Love 'em, just the plain no frills no pockets not too heavy good ol sweatpants.",Five Stars, Medium, Navy,,5
B000YFSR4W,Good product for the price.  Used very day and no problem.,Five Stars, X-Large, Navy,,5
B000YFSR4W,Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,Good fit, Medium, Light Steel,,5
B000YFSR5G,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",size runs big,,,,4
B000YFSR4W,Excellent value.  Comfortable.,Excellent Product, X-Large, Light Steel,,5
B000YFSR4W,"Typical Hanes quality. Good weight, sized just right, made pretty well",Typical Quality, XXX-Large, Deep Royal,,5
B000YFSR4W,"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",Don't sweat the pants, Medium, Navy,,3
B000YFSR4W,"Fit perfectly. I bought dark grey, and they didn't fade",Five Stars, Medium, Charcoal Heather,,5
B000YFSR4W,They fit great. But they fade bad,Three Stars, Medium, Black,,3
B000YFSR4W,I only give four stars because the pants have no pockets.,Four Stars, Medium, Black,,4
B000YFSR4W,Average product.  As described.,Three Stars, XX-Large, Deep Royal,,3
B000YFSR4W,comfy fit,Five Stars, Large, Charcoal Heather,,5
B000YFSR4W,Nice pants but too small for a medium. Return it.,Returned also, Medium, Black,,2
B000YFSR4W,Nice pants but too small for a medium. Returned it.,Returned, Medium, Navy,,2
B000YFSR4W,"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",Comfy and warm., X-Large, Charcoal Heather,,4
B000YFSR4W,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.","Was terribly disappointed, the pants were way too large in ...",,,,1
B000YFSR4W,As described.,Three Stars, XXX-Large, Light Steel,,3
B0012DR1LU,Havaiana's are THE BEST!!!,Five Stars,,,,5
B0012DR1LU,Perfect color!,I love Havaianas!,,,,5
B0014F8TIU,Should have listened to other reviews. The elastics does not hold up.,One Star, One Size, Black/White,,1
B0014F8TIU,Constantly rolls down,One Star, One Size, White/Black,,1
B0014F8TIU,Superrrr thigh high. Im 54 and it easily reaches 3/4 up my thigh!!,Great!!! Very high!, One Size, Red/White/Blue,,5
B0014F8TIU,I just wish they would not roll down.,Cute but will roll, One Size, Red/White/Blue,,4
B0014HA6VG,"Sadly, not a true red. It's definitely orange",Four Stars, One Size, Fireman (Red),,4
B0014HA6VG,"Well made, soft, thick & so very colorful. Bought the just as gorgeous rich, red Fireman's scarf, too. My little fella is quite the fashion plate! And toasty, too!","Well made, soft, thick & so very colorful ...", One Size, Space Hero (Blue),,5
B0017LD0BM,Not pretty for fashion but great around the house and work.,Three Stars,1.5,,,3
B0017LD0BM,"I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",Huh,2.5,,,2
B0017LD0BM,Excellent value,excellent value and quality,3.25,,,4
B0017LD0BM,"they are fine for the value, particularly since I lose so many
reading glasses.  some of the screws do require constant
tightening.",loose screws,2.75,,,3
B0017LD0BM,"It is so handy to have this many reading glasses at such a reasonable price.  I like this style reading glasses instead of the ones with nose pieces, I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!",Good Value,2.25,,,4
B0017LGD34,Not pretty for fashion but great around the house and work.,Three Stars,,,,3
B0017LGD34,"I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",Huh,,,,2
B0017LGD34,Excellent value,excellent value and quality,,,,4
B0017LGD34,"they are fine for the value, particularly since I lose so many
reading glasses.  some of the screws do require constant
tightening.",loose screws,,,,3
B0017LGD34,"It is so handy to have this many reading glasses at such a reasonable price.  I like this style reading glasses instead of the ones with nose pieces, I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!",Good Value,,,,4
B001IKJOLW,Good light weight shoe...had to add insole for more support.,Four Stars, 7 B(M) US, Black/White/Anthracite/Stealth,,4
B001IKJOLW,I love my tennis shoes,Five Stars, 8 B(M) US, Black/White/Anthracite/Stealth,,5
B001IKJOLW,"This is a shoe I will wear with black dress pants or jeans when I need comfort and a little style, but I am not impressed.  This is a very flimsy shoe with little support at all.  Not like any Nike I've ever purchased in the past.  It looks nice, but it's not comfortable.","LOOKS GOOD, FEELS ICKY!", 9.5 B(M) US, Black/White/Anthracite/Stealth,,3
B001IKJOLW,"Love it!! Super comfortable and nice!! Got more than I expected, super flexible great for training. Definetly recommend it.",Love it!! Definetly recommend it, 9 B(M) US, Black/Wolf Grey/White/Pink,,5
B001IKJOLW,Excelente,Five Stars, 7.5 D(M) US, Cool Grey/Team Orange/White/Platinum,,5
B001IKJOLW,"These shoes are poorly constructed and I don't expect them to last more that one summer.  Would not recommend, and will not order another Nike downshifter series again",Cheap, 13 D(M) US, Cool Grey/Team Orange/White/Platinum,,2
B001IKJOLW,"For the price I spent on the pair of shoes, I'd say it's as good as expected.
It's comfortable and doesn't hurt my feet when I run.",Pretty comfortable pair of running shoes, 9 D(M) US, Cool Grey/Team Orange/White/Platinum,,4
B001IKJOLW,I always get a half size up in my tennis shoes. For some reason these feel to big in the heel area and wide.,I always get a half size up in my tennis ..., 8.5 B(M) US, Black/White/Anthracite/Stealth,,3
B001IKJOLW,Put them on and walked 3 hours with no problem! Love them! So light feeling,Love them! So light feeling, 7.5 B(M) US, Bright Mango/Crimson/White/Blue,,5
B001IKJOLW,excelente,Five Stars, 10.5 D(M) US, Cool Grey/Team Orange/White/Platinum,,5
B001IKJOLW,"Love these shoes!
So stylish and comfortable. Just got back from a trip to NYC, Black and white Nikes and yoga pants are in high fashion right now!",Love these shoes, 7 B(M) US, Black/White/Anthracite/Stealth,,5
B001IKJOLW,"This shoe is JUST OK. Its not as comfortable as I was expecting, compared to my last pair of NIKE shoes. I hope they hold up.",Its not as comfortable as I was expecting, 9 B(M) US, Blue Tint/Green Glow/Hasta/White,,3
B001IKJOLW,Best tennis shoes I've had all my life. Very comfortable out the box. I would buy 10 pairs of these shoes if had the money.,Very Comfortable, 9.5 B(M) US, Black/White/Anthracite/Stealth,https://images-na.ssl-images-amazon.com/images/I/71MxdEmUNpL._SY88.jpg,5
B001IKJOLW,The color pattern and fit is what I liked the most what I liked the least is that they are not easy to clean and stains do not come out very easy or at all,The color pattern and fit is what I liked the most what I liked the least is that ..., 7 B(M) US, Blue Tint/Green Glow/Hasta/White,,5
B001IKJOLW,"love these shoes. Workout in them 3-4 times a week at the gym. I do treadmill, stairmaster, cardio classes and weight lifting. lightweight and versatile shoe.",Great shoe for the price!, 6 B(M) US, Black/White-anthracite-stealth,,5
B001IKJOLW,"Great shoe. I've had Nike's before and have always been pleased with the comfort, performance, and quality. Though I will say this was the first time I ordered a pair online without trying them on first, so I was nervous. But this turned out to be a great choice. Breathable, lightweight but sturdy, and comfortable during all my workouts. The built-in arch support is great and I've had no discomfort after 2 weeks of use. As far as the sole thickness and cushioning goes, I would consider these a 'medium' build (not thin, not overly thick) so if you're into heavy running outdoors then take that into consideration. Everyone is different in their preference for cushioning, but I think for light runs on a treadmill they would be sufficient. Love these, highly recommend!",Great shoe!, 9 B(M) US, Black/White/Anthracite/Stealth,,5
B001IKJOLW,The material is real then hope they don't fall apart . to expensive for what you get.,Three Stars, 8 B(M) US, Blue Tint/Green Glow/Hasta/White,,3
B001IKJOLW,Nice,Three Stars, 7 B(M) US, Wolf Grey/Black-pink Blast/White,,3
B001IKJOLW,Gracias,Five Stars, 7 B(M) US, Black/White/Anthracite/Stealth,,5
B001IKJOLW,Love these shoes!! They are true to size and very comfortable!! This is my second pair - I wore out the first pair!! Good arch support - I have a high arch!!,Love these shoes, 8 B(M) US, Black/White/Anthracite/Stealth,,5
B001IKJOLW,,Five Stars, 11 B(M) US, Wolf Grey/Black-pink Blast/White,https://images-na.ssl-images-amazon.com/images/I/61ifu-JvzQL._SY88.jpg,5
B001IKJOLW,Great arch support and comfortable.,Great cross trainer, 9 B(M) US, Black/White/Anthracite/Stealth,,5
B001IKJOLW,It looks a bit nicer on the picture. Its very light in such a way that when I held the box I wondered if there was just paper filling inside. They are comfortable for the most. Good looking training shoes overall.,They are comfortable for the most but just a bit narrow, 8.5 B(M) US, Wolf Grey/Black-pink Blast/White,,4
B001IKJOLW,second pair. Comfortable and great for people with bunion issues or previous surgeries.  Sole wears great,staple sneakers, 9 B(M) US, Black/White/Anthracite/Stealth,,5
B001IKJOLW,My daughter loves these shoes. Fit true to size.,Great looking shoe, 8.5 B(M) US, Black/White/Anthracite/Stealth,,5
B001IKJOLW,Purchased for my daughter for gym class.  She loves them.  Very cute and very comfortable.,Great shoes., 7 B(M) US, Hyper Jade/Mtlc Silver/Hyper Turq,,5
B001IKJOLW,Great look but zero support inside the shoe. Had to buy expensive inserts to be wearable. Expected more from a nike shoe.,"Style 10/10, Comfort 3/10", 8.5 B(M) US, Wolf Grey/Black-pink Blast/White,,3
B001IKJOLW,"Straight out of the box, these shoes are great! Very lightweight and fits comfortably on my feet like a glove! I love most especially that the sole is not bulky like my previous running shoes  I hated those things lol! I would give them a shot and they are great for the price!",these shoes are great! Very lightweight and fits comfortably on my feet ..., 9 B(M) US, Blue Tint/Green Glow/Hasta/White,"https://images-na.ssl-images-amazon.com/images/I/61nv8h45pHL._SY88.jpg, https://images-na.ssl-images-amazon.com/images/I/71mOYBlBnAL._SY88.jpg, https://images-na.ssl-images-amazon.com/images/I/619NiK+tIRL._SY88.jpg",5
B001IKJOLW,Great shoes. Fit perfectly. Comfortable right from the start. Light weight and perfect for a 12 hour work shift. Good price also.,Great shoes. Fit perfectly, 9.5 B(M) US, Black/White/Anthracite/Stealth,,5
B001IKJOLW,I love them! They fit perfect and are very comfortable!!,Five Stars, 6.5 B(M) US, Wolf Grey/Black-pink Blast/White,,5
B001IKJOLW,Love these lightweight shoes! Absolute favorite. Always order half a size bigger with nike shoes than with every other shoe in my closet.,Perfect. Lightweight and comfortable all day, 8 B(M) US, Black/White/Anthracite/Stealth,,5
B001IKJOLW,My knees were bothering me during HIIT workouts so i  purchased these shoes after researching many styles.  Fit true to size and are lightweight.  My knees feel better so so hard so good.  They are cute in too!!,My knees feel better so so hard so good, 8.5 B(M) US, Black/White/Anthracite/Stealth,,5
B001IKJOLW,Love the color!,Five Stars, 8.5 B(M) US, Hyper Jade/Mtlc Silver/Hyper Turq,,5
B001IKJOLW,"Comfortable athletic shoe,  good for the gym (ellipical, tredmill, etc.) Fit is good, and shoe is really lightweight and comfy.","Comfortable, lightweight Xtrainer", 8 D - Wide, Cool Grey / Volt - Wolf Grey - Pure Platinum,,4
B001IKJOLW,"The shoes fit perfectly and came within the time frame i was given.  Very comfortable, which is needed since my job requires a lot if standing abd walking throughout the day.",Great shoe!, 7.5 B(M) US, Black/White/Anthracite/Stealth,,5
B001IKJOLW,They looked very cheap,Returned...looked cheap, 9.5 B(M) US, Wolf Grey/Platinum/White/Crimson,,1
B001IKJOLW,The fit is as expected,Fits to size, 9 B(M) US, Black/White/Anthracite/Stealth,,5
B001IKJOLW,Very comfortable shoes. This is my second pair of this style of shoe because I loved them that much.,Very comfortable shoes. This is my second pair of this ..., 11 B(M) US, Black/White/Anthracite/Stealth,,5
B001IKJOLW,"Comfortable, consistent each time I order and good looking",Sleek and sporty, 7.5 B(M) US, Black/White/Anthracite/Stealth,,5
B001IKJOLW,I love the shoe and it fit as expected the photos and description are accurate if you're looking for a shoe that has more cushion or support try a different style but as far as wanting a lightweight and breathable shoe this is it. I am very satisfied with this purchase,I love the shoes and the description and photos were accurate, 8.5 B(M) US, Black/White/Anthracite/Stealth,,5
B001IKJOLW,These are so cute and comfortable and very light. I just received them today and the fit is perfect. I normally wear an 8 1/2 and they are true to size!,Great fit!, 8.5 B(M) US, Blue Tint/Green Glow/Hasta/White,https://images-na.ssl-images-amazon.com/images/I/81RTR7fHytL._SY88.jpg,5
B001IKJOLW,I always order a 1/2 size up in workout shoes.,Lightweight, 9.5 B(M) US, Black/White/Anthracite/Stealth,,5
B001IKJOLW,"I wore these shoe one time, from the airport in Omaha, NE to the airport in Phoenix, AZ. When I arrived in Phoenix, the left shoe/sole started squeaking and won't stop. I want to return for a refund. Need instructions for returning as no paperwork was in my package when it arrived.",Squeaky soles, 8.5 B(M) US, Black/White/Anthracite/Stealth,,1
B001IKJOLW,They run big and are super uncomfortable and the soles squeak. They don't breathe at all.,Two Stars, 9 B(M) US, Black/White/Anthracite/Stealth,,2
B001IKJOLW,Exactly what I expected! Comfortable and chic,Comfortable and, 8 B(M) US, Black/White/Anthracite/Stealth,,5
B001IKJOLW,They were a gift  to my daughter she loved them,Their Cute and Pink, 7.5 B(M) US, Wolf Grey/Black-pink Blast/White,https://images-na.ssl-images-amazon.com/images/I/71Q1TDIUL6L._SY88.jpg,5
B001IKJOLW,Love these comfy shoes. they fit like a glove.,Five Stars, 8.5 B(M) US, Blue Tint/Green Glow/Hasta/White,,5
B001IKJOLW,Very confortable.,Smooth and confortable., 7 B(M) US, Black/White/Anthracite/Stealth,,5
B001IKJOLW,i love these shoes.,Five Stars, 8 B(M) US, Energy/Mtlc Silver/Black,,5
B001IKJOLW,"Lightweight, decent arch support and comfortably to wear all day doing regular activity and sprinting.",decent arch support and comfortably to wear all day doing regular activity and sprinting, 8.5 B(M) US, Cool Grey/Pure Platinum/White/Volt,,5
B001IKJOLW,daughter loves them,Five Stars, 7 B(M) US, Black/White/Anthracite/Stealth,,5
B001IKJOLW,"I ordered a 1/2 size smaller than my usual size, and they are perfect. These shoes are hard to find. Great customer service as well.",Good shoes, 6.5 B(M) US, Cool Grey/Pure Platinum/White/Volt,,5
